Dia;Temp Media (ºC);Humedad Media (%);Velviento (m/s);Radiación (MJ/m2);Precipitación (mm)
262;19,4;81,1;0,76;7,07;6,5
263;21,51;61,06;0,49;19,43;0
264;22,78;50,15;0,63;17,49;0
265;20,44;55,07;0,85;20,72;0
266;18,7;64,97;0,6;20,5;0
267;19,98;75,7;0,68;20,07;0
268;20,36;77,6;0,57;19,48;0
269;20,29;79,7;0,52;19,14;0,2
270;21,28;79,3;0,6;18,37;0
271;21,72;73,4;0,66;18,5;0
272;21,82;65,47;0,58;18,71;0
273;23,06;59,71;0,51;19,1;0
274;23,96;54,31;0,75;18,88;0
275;21,66;73,5;0,66;18,21;0
276;21,58;80,2;0,69;16,95;0
277;22,32;81,3;0,53;16,46;0
278;21,75;81,9;0,78;16,33;0,2
279;21,54;75,1;0,64;16,81;0
280;21,12;80,5;0,52;16,64;0
281;20,69;81,6;0,52;15,41;0
282;19,51;79,8;0,45;16,25;0,2
283;19,09;79,8;0,62;15,97;0
284;19,11;81;0,68;15,89;0,2
285;19,7;79,6;0,59;15,5;0
286;20,02;78,5;0,55;15,01;0,2
287;20,67;62,22;0,74;7,35;0
288;20,79;68,43;0,59;14,87;0
289;21,58;73;0,48;10,12;0
290;19,68;85,3;0,48;9,67;0
291;22,44;59,74;0,58;11,42;0
292;21,42;57,76;0,81;7,6;0,41
293;17,29;57,01;1,03;6,1;0,2
294;16,21;47,8;0,64;11,86;0
295;14,5;69,7;0,85;6,42;1,83
296;18,68;68,34;0,52;9,14;0,81
297;17,87;52,58;0,71;14,34;0
298;20,14;56,6;1,37;10,42;0
299;21,08;60,08;0,92;6,44;0,2
300;17,67;56,38;0,77;10,06;0
301;18,33;56,7;0,5;11,2;0
302;18,23;58,26;0,65;13,14;0
303;17,49;54,41;0,77;9,61;0
304;14,98;54,94;0,48;6,68;0
305;17,54;56,43;0,68;6,75;0
306;18,89;54,39;1,13;11,05;1,62
307;14,8;52,57;1,78;12,45;0
308;17,56;57,51;0,96;8,87;0
309;15,95;48,36;0,75;12,59;0
310;14,72;47,77;0,65;12,62;0
311;12,78;48,57;0,66;12,71;0
312;13,06;53,19;0,58;7,6;0
313;17,04;50;1,09;11,85;0
314;16,68;51,21;0,87;12,08;0
